xflr5 v6.61

Plane name :        Plane Name
Polar name :        T5-a4.5Åã-8.5m/s-VLM2

   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    4.500    -2.200   0.864978   0.017208   0.010066   0.027274   0.005733   0.007458  -0.358210   0.001089   0.001105    8.5000     0.5586
    4.500    -2.100   0.865086   0.017208   0.010066   0.027273   0.005473   0.007120  -0.358559   0.001039   0.001055    8.5000     0.5591
    4.500    -2.000   0.865189   0.017208   0.010066   0.027273   0.005213   0.006782  -0.358892   0.000990   0.001004    8.5000     0.5596
    4.500    -1.900   0.865287   0.017207   0.010065   0.027273   0.004953   0.006444  -0.359209   0.000940   0.000954    8.5000     0.5600
    4.500    -1.800   0.865380   0.017207   0.010065   0.027272   0.004693   0.006105  -0.359510   0.000890   0.000904    8.5000     0.5605
    4.500    -1.700   0.865468   0.017207   0.010065   0.027272   0.004433   0.005767  -0.359795   0.000841   0.000854    8.5000     0.5609
    4.500    -1.600   0.865551   0.017207   0.010065   0.027272   0.004172   0.005428  -0.360063   0.000791   0.000804    8.5000     0.5613
    4.500    -1.500   0.865629   0.017207   0.010065   0.027272   0.003912   0.005090  -0.360315   0.000742   0.000753    8.5000     0.5616
    4.500    -1.400   0.865702   0.017207   0.010066   0.027272   0.003651   0.004751  -0.360551   0.000692   0.000703    8.5000     0.5619
    4.500    -1.300   0.865770   0.017207   0.010066   0.027272   0.003391   0.004412  -0.360771   0.000642   0.000653    8.5000     0.5623
    4.500    -1.200   0.865833   0.017207   0.010066   0.027272   0.003130   0.004073  -0.360974   0.000593   0.000603    8.5000     0.5625
    4.500    -1.100   0.865890   0.017207   0.010066   0.027272   0.002870   0.003734  -0.361161   0.000543   0.000552    8.5000     0.5628
    4.500    -1.000   0.865943   0.017207   0.010066   0.027273   0.002609   0.003395  -0.361332   0.000494   0.000502    8.5000     0.5630
    4.500    -0.900   0.865991   0.017207   0.010066   0.027273   0.002348   0.003055  -0.361486   0.000444   0.000452    8.5000     0.5633
    4.500    -0.800   0.866034   0.017206   0.010066   0.027273   0.002087   0.002716  -0.361625   0.000395   0.000402    8.5000     0.5635
    4.500    -0.700   0.866071   0.017206   0.010067   0.027273   0.001826   0.002377  -0.361747   0.000346   0.000352    8.5000     0.5636
    4.500    -0.600   0.866104   0.017206   0.010067   0.027273   0.001566   0.002037  -0.361853   0.000296   0.000301    8.5000     0.5638
    4.500    -0.500   0.866132   0.017206   0.010067   0.027273   0.001305   0.001698  -0.361942   0.000247   0.000251    8.5000     0.5639
    4.500    -0.400   0.866154   0.017206   0.010067   0.027273   0.001044   0.001358  -0.362015   0.000197   0.000201    8.5000     0.5640
    4.500    -0.300   0.866172   0.017206   0.010067   0.027273   0.000783   0.001019  -0.362072   0.000148   0.000151    8.5000     0.5641
    4.500    -0.200   0.866185   0.017206   0.010067   0.027273   0.000522   0.000679  -0.362113   0.000099   0.000100    8.5000     0.5642
    4.500    -0.100   0.866192   0.017206   0.010067   0.027273   0.000261   0.000340  -0.362137   0.000049   0.000050    8.5000     0.5642
    4.500     0.000   0.866195   0.017206   0.010067   0.027273  -0.000000  -0.000000  -0.362146   0.000000   0.000000    8.5000     0.5642
    4.500     0.100   0.866192   0.017206   0.010067   0.027273  -0.000261  -0.000340  -0.362137  -0.000049  -0.000050    8.5000     0.5642
    4.500     0.200   0.866185   0.017206   0.010067   0.027273  -0.000522  -0.000679  -0.362113  -0.000099  -0.000100    8.5000     0.5642
    4.500     0.300   0.866172   0.017206   0.010067   0.027273  -0.000783  -0.001019  -0.362072  -0.000148  -0.000151    8.5000     0.5641
    4.500     0.400   0.866154   0.017206   0.010067   0.027273  -0.001044  -0.001358  -0.362015  -0.000197  -0.000201    8.5000     0.5640
    4.500     0.500   0.866132   0.017206   0.010067   0.027273  -0.001305  -0.001698  -0.361942  -0.000247  -0.000251    8.5000     0.5639
    4.500     0.600   0.866104   0.017206   0.010067   0.027273  -0.001566  -0.002037  -0.361853  -0.000296  -0.000301    8.5000     0.5638
    4.500     0.700   0.866071   0.017206   0.010067   0.027273  -0.001826  -0.002377  -0.361747  -0.000346  -0.000352    8.5000     0.5636
    4.500     0.800   0.866034   0.017206   0.010066   0.027273  -0.002087  -0.002716  -0.361625  -0.000395  -0.000402    8.5000     0.5635
    4.500     0.900   0.865991   0.017207   0.010066   0.027273  -0.002348  -0.003055  -0.361486  -0.000444  -0.000452    8.5000     0.5633
    4.500     1.000   0.865943   0.017207   0.010066   0.027273  -0.002609  -0.003395  -0.361332  -0.000494  -0.000502    8.5000     0.5630
    4.500     1.100   0.865890   0.017207   0.010066   0.027272  -0.002870  -0.003734  -0.361161  -0.000543  -0.000552    8.5000     0.5628
    4.500     1.200   0.865833   0.017207   0.010066   0.027272  -0.003130  -0.004073  -0.360974  -0.000593  -0.000603    8.5000     0.5625
    4.500     1.300   0.865770   0.017207   0.010066   0.027272  -0.003391  -0.004412  -0.360771  -0.000642  -0.000653    8.5000     0.5623
    4.500     1.400   0.865702   0.017207   0.010066   0.027272  -0.003651  -0.004751  -0.360551  -0.000692  -0.000703    8.5000     0.5619
    4.500     1.500   0.865629   0.017207   0.010065   0.027272  -0.003912  -0.005090  -0.360315  -0.000742  -0.000753    8.5000     0.5616
    4.500     1.600   0.865551   0.017207   0.010065   0.027272  -0.004172  -0.005428  -0.360063  -0.000791  -0.000804    8.5000     0.5613
    4.500     1.700   0.865468   0.017207   0.010065   0.027272  -0.004433  -0.005767  -0.359795  -0.000841  -0.000854    8.5000     0.5609
    4.500     1.800   0.865380   0.017207   0.010065   0.027272  -0.004693  -0.006105  -0.359510  -0.000890  -0.000904    8.5000     0.5605
    4.500     1.900   0.865287   0.017207   0.010065   0.027273  -0.004953  -0.006444  -0.359209  -0.000940  -0.000954    8.5000     0.5600
    4.500     2.000   0.865189   0.017208   0.010066   0.027273  -0.005213  -0.006782  -0.358892  -0.000990  -0.001004    8.5000     0.5596
    4.500     2.100   0.865086   0.017208   0.010066   0.027273  -0.005473  -0.007120  -0.358559  -0.001039  -0.001055    8.5000     0.5591
    4.500     2.200   0.864978   0.017208   0.010066   0.027274  -0.005733  -0.007458  -0.358210  -0.001089  -0.001105    8.5000     0.5586
    4.500     2.300   0.864865   0.017208   0.010066   0.027274  -0.005993  -0.007795  -0.357844  -0.001139  -0.001155    8.5000     0.5581
    4.500     2.400   0.864747   0.017208   0.010066   0.027274  -0.006253  -0.008133  -0.357462  -0.001188  -0.001205    8.5000     0.5576
    4.500     2.500   0.864624   0.017208   0.010066   0.027275  -0.006513  -0.008470  -0.357064  -0.001238  -0.001255    8.5000     0.5570
    4.500     2.600   0.864496   0.017208   0.010067   0.027275  -0.006772  -0.008807  -0.356650  -0.001288  -0.001305    8.5000     0.5564
    4.500     2.700   0.864363   0.017209   0.010067   0.027276  -0.007032  -0.009144  -0.356220  -0.001337  -0.001356    8.5000     0.5558
    4.500     2.800   0.864225   0.017209   0.010067   0.027276  -0.007291  -0.009481  -0.355774  -0.001387  -0.001406    8.5000     0.5552
    4.500     2.900   0.864082   0.017209   0.010067   0.027276  -0.007550  -0.009818  -0.355312  -0.001436  -0.001456    8.5000     0.5545
    4.500     3.000   0.863934   0.017209   0.010067   0.027276  -0.007809  -0.010154  -0.354833  -0.001486  -0.001506    8.5000     0.5539
    4.500     3.100   0.863781   0.017209   0.010067   0.027277  -0.008068  -0.010490  -0.354339  -0.001536  -0.001556    8.5000     0.5531
    4.500     3.200   0.863623   0.017210   0.010067   0.027277  -0.008327  -0.010826  -0.353828  -0.001585  -0.001606    8.5000     0.5524
    4.500     3.300   0.863460   0.017210   0.010067   0.027277  -0.008585  -0.011162  -0.353302  -0.001635  -0.001656    8.5000     0.5517
    4.500     3.400   0.863292   0.017210   0.010067   0.027277  -0.008844  -0.011497  -0.352760  -0.001684  -0.001706    8.5000     0.5509
    4.500     3.500   0.863119   0.017210   0.010074   0.027285  -0.009102  -0.011832  -0.352198  -0.001736  -0.001757    8.5000     0.5501
    4.500     3.600   0.862941   0.017211   0.010082   0.027293  -0.009361  -0.012167  -0.351621  -0.001789  -0.001807    8.5000     0.5493
    4.500     3.700   0.862758   0.017211   0.010088   0.027299  -0.009619  -0.012502  -0.351029  -0.001840  -0.001857    8.5000     0.5485
    4.500     3.800   0.862570   0.017211   0.010092   0.027303  -0.009877  -0.012836  -0.350421  -0.001891  -0.001907    8.5000     0.5476
    4.500     3.900   0.862377   0.017211   0.010096   0.027307  -0.010134  -0.013170  -0.349798  -0.001942  -0.001957    8.5000     0.5467
    4.500     4.000   0.862179   0.017212   0.010099   0.027311  -0.010392  -0.013504  -0.349158  -0.001993  -0.002007    8.5000     0.5458
    4.500     4.100   0.861976   0.017212   0.010100   0.027312  -0.010649  -0.013837  -0.348504  -0.002043  -0.002057    8.5000     0.5449
    4.500     4.200   0.861768   0.017212   0.010101   0.027313  -0.010906  -0.014170  -0.347834  -0.002092  -0.002107    8.5000     0.5439
    4.500     4.300   0.861555   0.017212   0.010103   0.027316  -0.011163  -0.014503  -0.347147  -0.002143  -0.002157    8.5000     0.5429
    4.500     4.400   0.861337   0.017213   0.010106   0.027318  -0.011420  -0.014836  -0.346445  -0.002193  -0.002207    8.5000     0.5419
    4.500     4.500   0.861114   0.017213   0.010106   0.027319  -0.011677  -0.015168  -0.345728  -0.002243  -0.002257    8.5000     0.5409
    4.500     4.600   0.860887   0.017213   0.010106   0.027320  -0.011933  -0.015500  -0.344995  -0.002292  -0.002307    8.5000     0.5399
    4.500     4.700   0.860654   0.017213   0.010107   0.027320  -0.012190  -0.015831  -0.344246  -0.002342  -0.002357    8.5000     0.5388
    4.500     4.800   0.860416   0.017214   0.010106   0.027320  -0.012446  -0.016163  -0.343482  -0.002392  -0.002407    8.5000     0.5377


