xflr5 v6.61

0-1-3-4-5-6
T1-8.5 m/s-LLT-1.0kg-x0.0m
QInf  =    8.500000 m/s
Alpha =   11.000000
Beta  =    0.000Åã
Phi   =    0.000Åã
Ctrl  =    0.000
CL    =    1.342242
Cy    =    0.000000
Cd    =    0.064018     ICd   =    0.048939     PCd   =    0.015079
Cl   = -4.80921e-17
Cm   =   0.0070138
ICn   =    0.000000     PCn   =    0.000000 
XCP   =    0.393707     YCP   =    0.000000     ZCP   =    0.000000  
XNP   =    0.000000
Bending =    0.000000

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -5.5269     1.4000    -1.699    1.398220    0.015709    0.041469    0.009824   -0.062300     0.2499    1.0000    0.2763   511.1426
   -4.9131     1.4000    -1.533    1.411558    0.015917    0.037779    0.009339   -0.061675     0.2491    1.0000    0.2752   706.0441
   -4.2689     1.4000    -1.403    1.421792    0.016098    0.034819    0.009910   -0.061179     0.2484    1.0000    0.2743   945.9993
   -3.5984     1.4000    -1.303    1.429614    0.016243    0.032505    0.010684   -0.060796     0.2478    1.0000    0.2736   1234.5819
   -2.9057     1.4000    -1.227    1.435503    0.016352    0.030744    0.011267   -0.060508     0.2474    1.0000    0.2731   1574.5299
   -2.1951     1.4000    -1.172    1.439798    0.016431    0.029450    0.011693   -0.060297     0.2471    1.0000    0.2727   1967.6121
   -1.4710     1.4000    -1.134    1.442718    0.016485    0.028566    0.011982   -0.060154     0.2469    1.0000    0.2724   2414.5180
   -0.7378     1.4000    -1.113    1.444418    0.016516    0.028050    0.012150   -0.060071     0.2467    1.0000    0.2723   2914.7747
   -0.0000     1.4000    -1.106    1.444973    0.016527    0.027881    0.012205   -0.060044     0.2467    1.0000    0.2722   3466.6908
    0.7378     1.4000    -1.113    1.444418    0.016516    0.028050    0.012150   -0.060071     0.2467    1.0000    0.2723   2914.7747
    1.4710     1.4000    -1.134    1.442718    0.016485    0.028566    0.011982   -0.060154     0.2469    1.0000    0.2724   2414.5180
    2.1951     1.4000    -1.172    1.439798    0.016431    0.029450    0.011693   -0.060297     0.2471    1.0000    0.2727   1967.6121
    2.9057     1.4000    -1.227    1.435503    0.016352    0.030744    0.011267   -0.060508     0.2474    1.0000    0.2731   1574.5299
    3.5984     1.4000    -1.303    1.429614    0.016243    0.032505    0.010684   -0.060796     0.2478    1.0000    0.2736   1234.5819
    4.2689     1.4000    -1.403    1.421792    0.016098    0.034819    0.009910   -0.061179     0.2484    1.0000    0.2743   945.9993
    4.9131     1.4000    -1.533    1.411558    0.015917    0.037779    0.009339   -0.061675     0.2491    1.0000    0.2752   706.0441
    5.5269     1.4000    -1.699    1.398220    0.015709    0.041469    0.009824   -0.062300     0.2499    1.0000    0.2763   511.1426
    6.1068     1.4000    -1.912    1.381149    0.015443    0.046081    0.010117   -0.063100     0.2509    1.0000    0.2778   357.0377
    6.6489     1.4000    -2.213    1.359838    0.014939    0.052531    0.009644   -0.064732     0.2535    1.0000    0.2803   238.9651
    7.1501     1.4000    -2.617    1.331853    0.014263    0.060837    0.008500   -0.067073     0.2576    1.0000    0.2838   151.8461
    7.6072     1.4000    -3.116    1.293305    0.013669    0.070328    0.007083   -0.069540     0.2621    1.0000    0.2880   90.4612
    8.0174     1.4000    -3.744    1.241050    0.013114    0.081102    0.005089   -0.072302     0.2666    1.0000    0.2935   49.6271
    8.3781     1.4000    -4.668    1.172212    0.012130    0.095501   -0.000054   -0.078121     0.2759    1.0000    0.3034   24.4060
    8.6872     1.4000    -5.884    1.078587    0.011237    0.110765   -0.008209   -0.086072     0.2878    1.0000    0.3185   10.3149
    8.9428     1.4000    -7.432    0.949756    0.010120    0.123203   -0.019409   -0.094749     0.3084    1.0000    0.3407    3.4864
    9.1432     1.4000    -8.695    0.773954    0.009713    0.117446   -0.020459   -0.086991     0.3336    0.7142    0.3553    0.8196
    9.2872     1.4000   -10.683    0.557136    0.009297    0.103876   -0.034574   -0.088017     0.4034    0.3716    0.4043    0.0924
    9.3740     1.4000   -13.305    0.296954    0.009076    0.068957   -0.063109   -0.095935     0.5356    0.1682    0.5791    0.0000




