xflr5 v6.61

0-1-3-4-5-6
T1-8.5 m/s-LLT-1.0kg-x0.0m
QInf  =    8.500000 m/s
Alpha =    6.900000
Beta  =    0.000Åã
Phi   =    0.000Åã
Ctrl  =    0.000
CL    =    1.061896
Cy    =    0.000000
Cd    =    0.041423     ICd   =    0.030144     PCd   =    0.011280
Cl   = -6.56717e-17
Cm   =  -0.0276221
ICn   =    0.000000     PCn   =    0.000000 
XCP   =    0.444651     YCP   =    0.000000     ZCP   =    0.000000  
XNP   =    0.000000
Bending =    0.000000

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
    4.9131     1.4000    -1.229    1.121142    0.011631    0.024055   -0.025989   -0.082336     0.2823    1.0000    0.3112   551.3759
    5.5269     1.4000    -1.366    1.110305    0.011545    0.026477   -0.026196   -0.083184     0.2835    1.0000    0.3129   398.1762
    6.1068     1.4000    -1.549    1.096378    0.011412    0.029638   -0.026837   -0.084431     0.2854    1.0000    0.3153   277.2853
    6.6489     1.4000    -1.790    1.078139    0.011233    0.033680   -0.027957   -0.086114     0.2878    1.0000    0.3185   184.9039
    7.1501     1.4000    -2.102    1.053702    0.010977    0.038651   -0.029494   -0.088114     0.2918    1.0000    0.3228   116.9708
    7.6072     1.4000    -2.506    1.020568    0.010659    0.044640   -0.031542   -0.090443     0.2973    1.0000    0.3284   69.3101
    8.0174     1.4000    -3.025    0.975523    0.010342    0.051504   -0.034184   -0.093029     0.3039    1.0000    0.3359   37.7864
    8.3781     1.4000    -3.751    0.914177    0.009837    0.059855   -0.038726   -0.097034     0.3149    1.0000    0.3478   18.4662
    8.6872     1.4000    -4.321    0.826428    0.009702    0.062330   -0.036301   -0.091753     0.3270    0.8401    0.3536    7.7758
    8.9428     1.4000    -4.896    0.714321    0.009741    0.061042   -0.030864   -0.081368     0.3411    0.5653    0.3570    2.6318
    9.1432     1.4000    -6.308    0.583245    0.009371    0.064214   -0.041750   -0.087020     0.3906    0.4003    0.3948    0.6197
    9.2872     1.4000    -7.981    0.421233    0.009018    0.058672   -0.056307   -0.092672     0.4782    0.2596    0.4696    0.0699
    9.3740     1.4000    -9.926    0.224519    0.009469    0.038896   -0.075560   -0.097930     0.5645    0.0958    0.6961    0.0000




